Cl_pop,1,0.0243284,-0.444072,nan,0.111698,0.0343323,-0.0286314,-0.0158685,0.00060091,-0.0327411,0.0449396,0.0613547,-0.00755873
V1_pop,0.0243284,1,0.0248299,nan,0.00358803,0.00101937,0.00173538,0.00111238,-0.00307721,-0.00366256,0.00030489,0.000487666,0.000287148
V2_pop,-0.444072,0.0248299,1,nan,-0.0479479,-0.0150871,0.0234805,0.00487184,0.00861613,-0.147571,-0.0372586,0.0407602,0.010981
S_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R0_pop,0.111698,0.00358803,-0.0479479,nan,1,-0.0297631,-0.0983512,-0.00369098,-0.000794285,-0.0172377,-0.0126903,0.0089985,0.0135833
gamma_pop,0.0343323,0.00101937,-0.0150871,nan,-0.0297631,1,0.148585,0.0297546,3.25507e-05,-0.0601928,0.0453686,0.00457708,-0.00382887
MTT_pop,-0.0286314,0.00173538,0.0234805,nan,-0.0983512,0.148585,1,-0.0614014,-0.00532915,-0.148961,0.286368,0.0112364,-0.0178824
omega_Cl,-0.0158685,0.00111238,0.00487184,nan,-0.00369098,0.0297546,-0.0614014,1,0.0183541,-0.098202,-0.224905,-0.0398387,0.00710719
omega_V1,0.00060091,-0.00307721,0.00861613,nan,-0.000794285,3.25507e-05,-0.00532915,0.0183541,1,-0.00617553,-0.00974955,-0.00287712,0.000946981
omega_V2,-0.0327411,-0.00366256,-0.147571,nan,-0.0172377,-0.0601928,-0.148961,-0.098202,-0.00617553,1,-0.172386,-0.0526918,0.0156995
omega_MTT,0.0449396,0.00030489,-0.0372586,nan,-0.0126903,0.0453686,0.286368,-0.224905,-0.00974955,-0.172386,1,0.0243925,-0.0618311
bPK_central_drug_concentration,0.0613547,0.000487666,0.0407602,nan,0.0089985,0.00457708,0.0112364,-0.0398387,-0.00287712,-0.0526918,0.0243925,1,-0.00162015
acirculating_R,-0.00755873,0.000287148,0.010981,nan,0.0135833,-0.00382887,-0.0178824,0.00710719,0.000946981,0.0156995,-0.0618311,-0.00162015,1
